Date,Price
2022-11-03,10500.0
2022-11-04,10500.0
2022-11-05,10500.0
2022-11-06,10500.0
2022-11-07,10500.0
2022-11-08,10500.0
2022-11-09,10500.0
2022-11-10,10500.0
2022-11-11,10500.0
2022-11-12,10500.0
2022-11-13,10500.0
2022-11-14,10500.0
2022-11-15,10500.0
2022-11-16,10500.0
2022-11-17,10500.0
2022-11-18,10500.0
2022-11-19,10500.0
2022-11-20,10500.0
2022-11-21,10500.0
2022-11-22,10500.0
2022-11-23,10500.0
2022-11-24,10500.0
2022-11-25,10500.0
2022-11-26,10500.0
2022-11-27,10500.0
2022-11-28,10500.0
2022-11-29,10500.0
2022-11-30,10500.0
2022-12-01,10500.0
2022-12-02,10500.0
2022-12-03,10500.0
2022-12-04,10500.0
2022-12-05,10500.0
2022-12-06,10500.0
2022-12-07,10500.0
2022-12-08,10500.0
2022-12-09,10500.0
2022-12-10,10500.0
2022-12-11,10500.0
2022-12-12,10500.0
2022-12-13,10500.0
2022-12-14,10500.0
2022-12-15,10500.0
2022-12-16,10500.0
2022-12-17,10500.0
2022-12-18,10500.0
2022-12-19,10500.0
2022-12-20,10500.0
2022-12-21,10500.0
2022-12-22,10500.0
2022-12-23,10500.0
2022-12-24,10500.0
2022-12-25,10500.0
2022-12-26,10500.0
2022-12-27,10500.0
2022-12-28,10500.0
2022-12-29,10500.0
2022-12-30,10500.0
2022-12-31,10500.0
2023-01-01,10500.0
2023-01-02,10500.0
2023-01-03,10500.0
2023-01-04,10500.0
2023-01-05,10500.0
2023-01-06,10500.0
2023-01-07,10500.0
2023-01-08,10500.0
2023-01-09,10500.0
2023-01-10,10500.0
2023-01-11,10500.0
2023-01-12,10500.0
2023-01-13,10500.0
2023-01-14,10500.0
2023-01-15,10500.0
2023-01-16,10500.0
2023-01-17,10500.0
2023-01-18,10500.0
2023-01-19,10500.0
2023-01-20,10500.0
2023-01-21,10500.0
2023-01-22,10500.0
2023-01-23,10500.0
2023-01-24,10500.0
2023-01-25,10500.0
2023-01-26,10500.0
2023-01-27,10500.0
2023-01-28,10500.0
2023-01-29,10500.0
2023-01-30,10500.0
2023-01-31,10500.0
2023-02-01,10500.0
2023-02-02,10500.0
